article	year	views	sections	lines	links
A*_search_algorithm	2015	439444	17	391	73
A*_search_algorithm	2016	757153	18	451	75
A*_search_algorithm	2017	1244449	18	564	81
A*_search_algorithm	2018	767090	18	567	83
A*_search_algorithm	2019	709111	18	602	84
A*_search_algorithm	2020	684128	20	494	85
A*_search_algorithm	2021	800379	20	468	89
A*_search_algorithm	2022	667618	20	465	84
A*_search_algorithm	2023	732674	20	466	81
A*_search_algorithm	2024	689100	20	507	104
A*_search_algorithm	2025	323746	20	567	108
Backpropagation	2015	145007	17	789	80
Backpropagation	2016	386763	17	936	214
Backpropagation	2017	504682	25	1489	227
Backpropagation	2018	487635	24	1384	212
Backpropagation	2019	466450	14	1015	200
Backpropagation	2020	424030	17	2103	231
Backpropagation	2021	396894	18	2097	241
Backpropagation	2022	362433	18	2182	266
Backpropagation	2023	409779	19	2206	269
Backpropagation	2024	431123	23	2255	287
Backpropagation	2025	223113	23	2690	424
Bayesian_inference	2015	170714	37	1870	474
Bayesian_inference	2016	382736	37	1875	479
Bayesian_inference	2017	451701	37	1896	480
Bayesian_inference	2018	474523	36	1896	482
Bayesian_inference	2019	444471	37	2168	494
Bayesian_inference	2020	445847	38	1952	489
Bayesian_inference	2021	436469	39	2123	497
Bayesian_inference	2022	398748	39	2149	499
Bayesian_inference	2023	363115	40	2152	500
Bayesian_inference	2024	389157	40	2158	504
Bayesian_inference	2025	196667	40	2342	505
Cluster_analysis	2015	286609	19	1057	605
Cluster_analysis	2016	718044	19	1019	604
Cluster_analysis	2017	635936	19	1021	610
Cluster_analysis	2018	613809	19	1188	620
Cluster_analysis	2019	551941	25	1176	622
Cluster_analysis	2020	499080	25	1032	520
Cluster_analysis	2021	451569	26	1101	551
Cluster_analysis	2022	385758	26	1103	555
Cluster_analysis	2023	344609	26	1256	665
Cluster_analysis	2024	324178	26	1260	668
Cluster_analysis	2025	177903	26	1443	827
Confidence_interval	2015	600581	29	1023	387
Confidence_interval	2016	1221091	29	1070	387
Confidence_interval	2017	1143029	33	1309	388
Confidence_interval	2018	1114720	33	1297	392
Confidence_interval	2019	968773	33	1324	396
Confidence_interval	2020	947155	38	1638	406
Confidence_interval	2021	897770	36	1667	406
Confidence_interval	2022	690799	21	931	381
Confidence_interval	2023	682802	25	966	380
Confidence_interval	2024	629100	25	1047	381
Confidence_interval	2025	308856	25	1065	384
Confusion_matrix	2015	102067	5	303	47
Confusion_matrix	2016	250460	5	124	54
Confusion_matrix	2017	342379	4	119	51
Confusion_matrix	2018	436539	4	125	51
Confusion_matrix	2019	466099	4	126	54
Confusion_matrix	2020	580705	3	281	215
Confusion_matrix	2021	574791	4	302	218
Confusion_matrix	2022	581197	5	497	217
Confusion_matrix	2023	514315	5	497	217
